"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,890395.4499080218,353.15,2.420597493359447e7,2.3315579483686447e7
1.6054641845158876e6,890395.4499080218,353.14999999921844,2.420597493359447e7,2.3315579483686447e7
3.2109283690317753e6,913521.878922347,353.15000000098564,2.422892801056565e7,2.3315406131643303e7
4.816392553547663e6,921966.3315038085,353.1499999992365,2.42371849520893e7,2.331521862058549e7
6.421856738063551e6,926292.4332303517,353.15000000071467,2.4241316197806556e7,2.3315023764576204e7
8.0273209225794375e6,929265.8586213291,353.14999999789296,2.4244088523037385e7,2.3314822664416056e7
9.632785107095325e6,931635.7305020243,353.1499999997459,2.4246252861429453e7,2.331461713092743e7
1.1238249291611213e7,933645.0478182435,353.15000000026686,2.424805341796827e7,2.3314408370150026e7
1.2843713476127101e7,935397.898342222,353.1499999980016,2.424959503836214e7,2.331419714001992e7
1.4449177660642987e7,936952.2103190124,353.15000000020945,2.4250936176732253e7,2.331398396641324e7
1.6054641845158875e7,938347.797573451,353.1499999997391,2.4252116976526532e7,2.331376917895308e7
1.766010602967476e7,939613.8508950248,353.1499999992814,2.425316683578604e7,2.3313552984891016e7
1.926557021419065e7,940772.6467845403,353.14999999816894,2.425410816374879e7,2.331333551696425e7
2.087103439870654e7,941841.5605169125,353.14999999848993,2.425495841983366e7,2.3313116859316748e7
2.2476498583222426e7,942834.347733017,353.1499999998777,2.425573141370875e7,2.3312897065975733e7
2.4081962767738312e7,943762.0097126141,353.1500000024022,2.4256438185115736e7,2.331267617540312e7
2.5687426952254202e7,944633.4259669222,353.1499999989408,2.4257087647215117e7,2.3312454221248195e7
2.729289113677009e7,945455.905279614,353.14999999873334,2.4257687131467763e7,2.331223122618815e7
2.8898355321285974e7,946235.4951791167,353.14999999898157,2.425824269874851e7,2.3312007203569394e7
3.0503819505801864e7,946977.2472367696,353.14999999861715,2.4258759411241993e7,2.3311782164005224e7
3.210928369031775e7,947685.4186488539,353.1499999974189,2.425924153428419e7,2.3311556115635335e7
3.3714747874833636e7,948363.6257420331,353.14999999820583,2.4259692691388145e7,2.3311329065646112e7
3.532021205934952e7,949014.9631702043,353.14999999749483,2.426011598431891e7,2.3311101021148704e7
3.6925676243865415e7,949642.0976419896,353.1499999983921,2.4260514085994348e7,2.331087198835236e7
3.85311404283813e7,950247.3410372324,353.14999999865404,2.4260889314829767e7,2.3310641973792534e7
4.013660461289719e7,950832.7069235183,353.1499999973703,2.4261243691376913e7,2.3310410984453395e7
4.174206879741308e7,951399.96067347,353.1500000005151,2.4261578987328872e7,2.3310179026655402e7
4.334753298192897e7,951950.6580279768,353.149999996651,2.4261896764541052e7,2.3309946106513076e7
4.495299716644485e7,952486.1758561768,353.14999999622006,2.426219840567198e7,2.3309712229815803e7
4.655846135096074e7,953007.7379365712,353.14999999619397,2.4262485139898553e7,2.3309477401961982e7
5.121430748605681e7,954407.905136425,353.14999999914585,2.426319632181747e7,2.3308788416681044e7
6.396727733436345e7,957724.9071218818,353.15000000025634,2.4264614565905537e7,2.3306889658783656e7
7.67202471826701e7,960783.051784467,353.1499999973369,2.426572411159767e7,2.33049410598132e7
8.947321703097673e7,963660.743864961,353.14999998091554,2.4266589744888905e7,2.3302929001023944e7
1.0222618687928337e8,966412.3823317923,353.1499999012313,2.4267269400820322e7,2.330085701848853e7
1.1497915672759001e8,969077.0793452337,353.14999955545807,2.426780439065715e7,2.3298727311311916e7
1.2773212657589667e8,971683.458407715,353.1499982549441,2.426822490261878e7,2.3296541444211066e7
1.404850964242033e8,974252.9547639936,353.1499941396044,2.4268553612061918e7,2.3294300657297924e7
1.5323806627250993e8,976801.85739474,353.1499825344198,2.4268807911227927e7,2.3292006053833187e7
1.6599103612081656e8,979342.7356458455,353.1499529126026,2.426900141149824e7,2.3289658675852396e7
1.7874400596912318e8,981885.4078069814,353.149883540053,2.4269144945807103e7,2.328725953800012e7
1.9149697581742984e8,984437.6429164074,353.1497327457636,2.4269247272972945e7,2.3284809630056538e7
2.042499456657365e8,987005.6819383614,353.1494258373279,2.4269315572756015e7,2.3282309890817653e7
2.1700291551404312e8,989594.619198773,353.1488366997898,2.4269355786758322e7,2.327976116755955e7
2.2975588536234975e8,992208.760579206,353.1477636915335,2.4269372915358983e7,2.3277164154779777e7
2.425088552106564e8,994851.8740252778,353.14589995429833,2.4269371184905995e7,2.3274519310880717e7
2.5526182505896306e8,997527.4560383558,353.1427994765647,2.4269354221681155e7,2.32718267656428e7
2.680147949072697e8,1.0002389265144728e6,353.13784087361586,2.4269325166968755e7,2.3269086240454283e7
2.807677647555763e8,1.0029898479049131e6,353.1301920714863,2.4269286778421845e7,2.3266296930516932e7
2.9352073460388297e8,1.0057840462047011e6,353.1187796402119,2.4269241506261718e7,2.3263457460057016e7
3.0627370445218956e8,1.0086257591090873e6,353.1022666872871,2.4269191546905734e7,2.3260565787796646e7
3.190266743004962e8,1.0115197049937882e6,353.07904308195936,2.426913891230598e7,2.3257619207312193e7
3.317796441488028e8,1.0144710997947492e6,353.04723079221924,2.4269085446992245e7,2.3254614347197495e7
3.445326139971095e8,1.0174856748558544e6,353.0047058479541,2.4269032848167423e7,2.325154717331157e7
3.572855838454162e8,1.0205695949894264e6,352.9491369242024,2.4268982723637167e7,2.324841312864774e7
3.7003855369372284e8,1.0237293764165416e6,352.87803874955955,2.426893652994794e7,2.32452071535314e7
3.8279152354202944e8,1.0269717951663285e6,352.7888371247655,2.426889564811737e7,2.3241923852951042e7
3.955444933903361e8,1.0303037239449397e6,352.67894119826934,2.4268861333466016e7,2.3238557609521076e7
4.082974632386427e8,1.0337320345422626e6,352.54581805695545,2.4268834693552516e7,2.3235102659010254e7
4.2105043308694935e8,1.0372634347947463e6,352.38706479547994,2.426881675407511e7,2.3231553319280364e7
4.3380340293525594e8,1.0409044086029343e6,352.2004735255581,2.426880835329586e7,2.3227903944692925e7
4.465563727835626e8,1.0446610227114931e6,351.9840859279359,2.4268810214514945e7,2.322414919180345e7
4.593093426318692e8,1.0485389403585605e6,351.7362351946493,2.426882290251194e7,2.322028396215338e7
4.720623124801759e8,1.052543274614893e6,351.4555743328661,2.4268846834507216e7,2.3216303559892323e7
4.848152823284825e8,1.0566785515137874e6,351.14109113001257,2.4268882280671827e7,2.321220372915804e7
4.9756825217678916e8,1.0609486655697152e6,350.7921113086453,2.4268929378566943e7,2.3207980712997228e7
5.1032122202509576e8,1.0653568174440525e6,350.4082917022239,2.4268988126248814e7,2.320363130880476e7
5.230741918734025e8,1.0699054587758705e6,349.98960618023955,2.4269058406763993e7,2.3199152947988123e7
5.358271617217091e8,1.0745962491724975e6,349.53632682887013,2.4269139993357453e7,2.3194543744184956e7
