"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,9.849358272148319e6,353.15,2.8534437327319693e7,1.8685079055171374e7
1.901207586926709e6,9.849358272148319e6,353.1500000000291,2.8534437327319693e7,1.8685079055171374e7
3.802415173853418e6,1.0130287710022528e7,353.1499999999721,2.8813772250959303e7,1.8683484540936776e7
5.703622760780127e6,1.0242495581422467e7,353.1499999999844,2.892412284942871e7,1.8681627268006243e7
7.604830347706836e6,1.0302488522559151e7,353.1499999999577,2.898208225586575e7,1.8679593733306598e7
9.506037934633546e6,1.0343271549161099e7,353.1499999998667,2.902072930405115e7,1.867745775489005e7
1.1407245521560254e7,1.0374993025874507e7,353.1499999999616,2.9050259150011797e7,1.867526612413729e7
1.3308453108486963e7,1.0401379489186868e7,353.150000000001,2.907442059283039e7,1.867304110364352e7
1.5209660695413671e7,1.0424125405271363e7,353.1499999999816,2.909491852956311e7,1.8670793124291748e7
1.711086828234038e7,1.0444165533806156e7,353.1500000000043,2.9112693119850785e7,1.866852758604463e7
1.901207586926709e7,1.046209366665294e7,353.1500000000452,2.9128341338483654e7,1.8666247671830714e7
2.09132834561938e7,1.0478322620438341e7,353.1500000000093,2.914227806693548e7,1.866395544649714e7
2.2814491043120507e7,1.0493155691069629e7,353.1499999999487,2.9154807989762295e7,1.8661652298692666e7
2.4715698630047213e7,1.0506823615101129e7,353.1500000001193,2.9166162771862943e7,1.8659339156761814e7
2.6616906216973927e7,1.0519506165284645e7,353.15000000005097,2.9176522788138594e7,1.865701662285395e7
2.8518113803900637e7,1.053134594892205e7,353.1500000000043,2.9186031020975545e7,1.8654685072053496e7
3.0419321390827343e7,1.0542457773279853e7,353.1500000000377,2.919480249899286e7,1.8652344725713007e7
3.232052897775405e7,1.0552935167414453e7,353.1499999999678,2.9202930886784367e7,1.8649995719369914e7
3.422173656468076e7,1.0562854834459346e7,353.1500000000381,2.9210493029430628e7,1.8647638194971282e7
3.612294415160747e7,1.0572281032146558e7,353.14999999992807,2.9217553266578812e7,1.8645272234432254e7
3.802415173853418e7,1.0581267833748598e7,353.14999999986225,2.922416569062011e7,1.864289785687151e7
3.992535932546089e7,1.0589861155314256e7,353.1499999997635,2.9230376221266482e7,1.8640515065952227e7
4.18265669123876e7,1.059810030598922e7,353.1499999998225,2.9236224163724463e7,1.8638123857735243e7
4.372777449931431e7,1.060601919135696e7,353.14999999996905,2.924174341724773e7,1.863572422589077e7
4.5628982086241014e7,1.0613647256905545e7,353.1499999999589,2.9246963421797022e7,1.8633316164891478e7
4.753018967316772e7,1.062101023501984e7,353.14999999989334,2.925190990691953e7,1.863089967189969e7
4.943139726009443e7,1.062813074191336e7,353.1499999999842,2.92566054901567e7,1.862847474824334e7
5.133260484702115e7,1.0635028759688918e7,353.1499999998165,2.9261070158223e7,1.8626041398534082e7
5.3233812433947854e7,1.0641722027969558e7,353.1499999998151,2.926532165903918e7,1.8623599631069623e7
5.513502002087456e7,1.0648226355010562e7,353.14999999975487,2.9269375817598294e7,1.8621149462587733e7
6.064852202296202e7,1.0665559788120579e7,353.1499999998119,2.9279517973265745e7,1.8613958185145166e7
7.575072315911461e7,1.0705899517230663e7,353.1499988285393,2.9300164264339685e7,1.8594264747109022e7
9.085292429526721e7,1.0742521797023073e7,353.1499866697148,2.9316676092729088e7,1.8574154295706015e7
1.0595512543141982e8,1.0776466633665655e7,353.14991922919853,2.9329895048251458e7,1.8553428414585803e7
1.2105732656757241e8,1.0808470900725666e7,353.1496548735072,2.9340588467477724e7,1.8532117566752058e7
1.36159527703725e8,1.0839080634846166e7,353.1488356243506,2.9349305504494283e7,1.8510224869648118e7
1.512617288398776e8,1.0868720345855586e7,353.1467036631234,2.935644977655527e7,1.8487729430699684e7
1.663639299760302e8,1.0897742587580368e7,353.1418669878481,2.936232632344508e7,1.8464583735864714e7
1.814661311121828e8,1.0926463759323843e7,353.1320545760061,2.9367172666284934e7,1.844070890696109e7
1.9656833224833542e8,1.0955189880719986e7,353.1139219087404,2.9371180488350548e7,1.8415990607630562e7
2.11670533384488e8,1.098423075554831e7,353.08297179294243,2.9374509104061224e7,1.8390278348512914e7
2.2677273452064058e8,1.101390575494149e7,353.03363842166544,2.9377294593411777e7,1.8363388838470288e7
2.4187493565679318e8,1.1044541695950873e7,352.9595483233415,2.9379655284396205e7,1.8335113588445332e7
2.5697713679294574e8,1.107646515046968e7,352.8539307836436,2.9381694845836446e7,1.8305229695366766e7
2.7207933792909837e8,1.1109991671015691e7,352.71011572874244,2.9383503704007767e7,1.8273512032992076e7
2.8718153906525093e8,1.1145414564368345e7,352.52203915893773,2.9385159637270648e7,1.8239745072902303e7
3.0228374020140356e8,1.1182994810260884e7,352.284678889986,2.938672778952351e7,1.8203732979262624e7
3.173859413375561e8,1.1222954086945858e7,351.99436364676905,2.9388261152235612e7,1.8165307065289754e7
