"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,1.0627694274391565e7,353.15,2.864828977241449e7,1.8020595498022925e7
2.09132834561938e6,1.0627694274391565e7,353.1500000000741,2.864828977241449e7,1.8020595498022925e7
4.18265669123876e6,1.0922126053194374e7,353.1500000000019,2.8940856011141114e7,1.801872995794674e7
6.27398503685814e6,1.1033853500426006e7,353.1500000000787,2.90505198471993e7,1.8016666346773293e7
8.36531338247752e6,1.1092042332118466e7,353.15000000003107,2.9106492819888793e7,1.8014450487770326e7
1.04566417280969e7,1.1131906943027362e7,353.1499999998981,2.9144034025530063e7,1.80121270825027e7
1.254797007371628e7,1.1163389900906451e7,353.1500000001018,2.9173128561027136e7,1.8009738660120685e7
1.463929841933566e7,1.1189874253457624e7,353.1499999998938,2.919718400605745e7,1.8007309752599824e7
1.673062676495504e7,1.1212853200190362e7,353.1499999998798,2.921770616746301e7,1.8004852967272647e7
1.8821955110574417e7,1.1233166612548955e7,353.15000000005693,2.9235541890649017e7,1.8002375278100062e7
2.09132834561938e7,1.12513686322908e7,353.1500000001702,2.92512495075908e7,1.79998808753e7
2.3004611801813178e7,1.1267857763470083e7,353.15000000013697,2.9265230142069086e7,1.7997372378599003e7
2.509594014743256e7,1.1282933771656558e7,353.1500000000803,2.92777852025226e7,1.799485143086604e7
2.718726849305194e7,1.1296828080639519e7,353.15000000005926,2.9289147121038124e7,1.7992319040398605e7
2.927859683867132e7,1.1309722556237034e7,353.1500000001311,2.929949836043048e7,1.7989775804193445e7
3.13699251842907e7,1.1321762166287046e7,353.15000000036537,2.9308984223582584e7,1.798722205729554e7
3.346125352991008e7,1.1333063727249667e7,353.1500000002489,2.931772173627609e7,1.7984658009026423e7
3.555258187552946e7,1.1343722216636136e7,353.1500000000656,2.9325806058169737e7,1.79820838415336e7
3.764391022114883e7,1.1353816356301494e7,353.15000000011435,2.933331600945438e7,1.7979499653152887e7
3.973523856676822e7,1.136341177148655e7,353.15000000005796,2.9340317244094923e7,1.7976905472608373e7
4.18265669123876e7,1.137256369303837e7,353.15000000010787,2.9346865004434e7,1.797430131139563e7
4.3917895258006975e7,1.1381319009097397e7,353.15000000012657,2.9353006184337083e7,1.7971687175239686e7
4.6009223603626356e7,1.138971784446945e7,353.1499999998668,2.935878091460899e7,1.796906307013954e7
4.810055194924574e7,1.1397794788159978e7,353.1499999999267,2.9364223793900847e7,1.796642900574087e7
5.019188029486512e7,1.1405579857285198e7,353.1500000001105,2.9369364854108132e7,1.7963784996822935e7
5.22832086404845e7,1.1413099261474319e7,353.15000000004477,2.9374230324928723e7,1.7961131063454404e7
5.437453698610388e7,1.1420376014209721e7,353.15000000007836,2.9378843245187607e7,1.7958467230977885e7
5.6465865331723265e7,1.1427430411570378e7,353.1500000000001,2.9383223947502833e7,1.7955793535932455e7
5.855719367734264e7,1.1434280444097787e7,353.1499999999346,2.938739045978512e7,1.795311001568733e7
6.064852202296202e7,1.1440942143358763e7,353.15000000007063,2.939135884780602e7,1.795041670444726e7
6.6713374225258216e7,1.145874192795661e7,353.15000000008047,2.940125568243145e7,1.7942513754474837e7
8.332579547502609e7,1.1500429882157363e7,353.1499999828216,2.942125135446338e7,1.7920821472306017e7
9.993821672479394e7,1.153847466892796e7,353.14999976276295,2.94371135554109e7,1.789863888648294e7
1.165506379745618e8,1.1573917125114255e7,353.1499982750225,2.9449694849991605e7,1.787577772487735e7
1.3316305922432967e8,1.1607484690469876e7,353.14999121407885,2.9459764799851704e7,1.785228010938183e7
1.4977548047409752e8,1.1639703507427108e7,353.1499648861519,2.946787275765312e7,1.7828169250226013e7
1.6638790172386536e8,1.1670962240791176e7,353.1498828926242,2.94744204177151e7,1.7803458176923923e7
1.8300032297363326e8,1.1701554841466665e7,353.1496613217226,2.947970814204477e7,1.7778153300578106e7
1.9961274422340107e8,1.17317117560363e7,353.1491281419716,2.9483966642887462e7,1.775225488685116e7
2.1622516547316894e8,1.1761620367347375e7,353.14796408029235,2.9487376852698885e7,1.772575648535151e7
2.328375867229368e8,1.1791440658737551e7,353.1456255837651,2.9490083770806972e7,1.769864311206942e7
2.4945000797270468e8,1.1821317173515331e7,353.14125517446587,2.949220608592159e7,1.767088891240626e7
2.6606242922247255e8,1.1851388642513916e7,353.1335895112742,2.949384325209764e7,1.7642454609583724e7
2.826748504722404e8,1.1881794983434685e7,353.12087948901217,2.9495080377947964e7,1.761328539451328e7
2.992872717220082e8,1.1912682301724557e7,353.10083827204755,2.949599195716701e7,1.7583309655442454e7
3.158996929717761e8,1.1944205465826735e7,353.0706315440815,2.949664440308909e7,1.7552438937262356e7
3.3251211422154397e8,1.1976528587460354e7,353.0269193477323,2.949709786555015e7,1.7520569278089795e7
3.491245354713118e8,1.2009823412592586e7,352.9659515652093,2.9497407207964055e7,1.748758379537147e7
3.6573695672107965e8,1.2044266270088512e7,352.8837108998585,2.9497622761352297e7,1.7453356491263784e7
3.8234937797084755e8,1.208003374317943e7,352.77608989029375,2.949779009035846e7,1.741775634717903e7
3.989617992206153e8,1.2117298422120385e7,352.6390835736391,2.9497950491582833e7,1.738065206946245e7
4.155742204703832e8,1.2156223946701087e7,352.46897771513125,2.9498140088887423e7,1.7341916142186336e7
4.321866417201511e8,1.2196961698276006e7,352.26251424972133,2.9498390261718336e7,1.730142856344233e7
4.4879906296991897e8,1.2239647064595312e7,352.01701995382666,2.949872713304949e7,1.725908006845418e7
4.654114842196868e8,1.2284397499924101e7,351.73049028818286,2.9499171463209476e7,1.7214773963285375e7
4.8202390546945465e8,1.233131094135432e7,351.40162686828336,2.9499739407991547e7,1.7168428466637228e7
4.986363267192226e8,1.2380464898400743e7,351.029832301751,2.950044173875428e7,1.7119976840353537e7
5.152487479689904e8,1.2431916009608842e7,350.6151706800657,2.9501285486243166e7,1.7069369476634324e7
5.318611692187583e8,1.2485700413227398e7,350.15830362546706,2.9502273396497596e7,1.7016572983270198e7
5.484735904685261e8,1.2541833009922829e7,349.66041290364046,2.9503405066083148e7,1.696157205616032e7
5.65086011718294e8,1.2600308057960253e7,349.1231189030962,2.9504677310284756e7,1.6904369252324503e7
5.816984329680618e8,1.2661098530313913e7,348.54840278684276,2.9506084487538353e7,1.684498595722444e7
5.983108542178297e8,1.2724155298090953e7,347.93853741049037,2.950761922953627e7,1.6783463931445315e7
6.149232754675976e8,1.2789406785982529e7,347.29602951495224,2.950927259057584e7,1.6719865804593312e7
6.315356967173654e8,1.2856757149615388e7,346.6235741644393,2.951103453156379e7,1.66542773819484e7
6.481481179671333e8,1.2926085393448042e7,345.9240197750657,2.951289401750402e7,1.658680862405598e7
6.647605392169011e8,1.2997243832119482e7,345.20034224992816,2.951483945749655e7,1.6517595625377068e7
6.81372960466669e8,1.3070057113132738e7,344.4556253782664,2.9516858662236847e7,1.644680154910411e7
6.979853817164367e8,1.3144321810206315e7,343.6930441840365,2.9518939126606163e7,1.6374617316399848e7
7.145978029662046e8,1.3219806397353243e7,342.9158497090974,2.9521068190326907e7,1.6301261792973664e7
7.312102242159724e8,1.3296252604756467e7,342.1273522519269,2.9523233044658534e7,1.6226980439902067e7
7.478226454657403e8,1.3373377860745255e7,341.3309016968607,2.9525420919867482e7,1.6152043059122227e7
7.644350667155082e8,1.3450878865660243e7,340.5298641754416,2.952761931579794e7,1.6076740450137697e7
7.810474879652761e8,1.3528436747723576e7,339.727593955384,2.9529815984102055e7,1.600137923637848e7
7.97659909215044e8,1.3605723287834354e7,338.9274007753171,2.9531999092502136e7,1.5926275804667782e7
8.142723304648118e8,1.3682408026181227e7,338.1325131706334,2.953415746751371e7,1.5851749441332484e7
8.308847517145797e8,1.3758166138336452e7,337.34603843529806,2.9536280595721897e7,1.5778114457385445e7
8.474971729643475e8,1.3832686195213288e7,336.5709207592173,2.953835886757121e7,1.570567267235792e7
8.641095942141154e8,1.3905677908342142e7,335.8098992292839,2.9540383577869132e7,1.563470566952699e7
8.807220154638833e8,1.3976878965058845e7,335.06546785704404,2.9542347120494645e7,1.55654681554358e7
8.973344367136512e8,1.4046060617758969e7,334.3398401231874,2.954424301941144e7,1.5498182401652472e7
9.139468579634191e8,1.4113031795882408e7,333.634920214928,2.9546065982512433e7,1.5433034186630026e7
9.305592792131869e8,1.4177641426363612e7,332.9522830848301,2.95478119445259e7,1.537017051816229e7
9.471717004629548e8,1.423977916391635e7,332.29316465430554,2.9549478011370044e7,1.5309698847453695e7
9.637841217127225e8,1.4299374375976743e7,331.6584628111926,2.9551062428466767e7,1.5251688052490024e7
9.803965429624904e8,1.4356393708859554e7,331.0487489460194,2.9552564499846783e7,1.5196170790987229e7
9.970089642122583e8,1.4410837508671254e7,330.46428892278453,2.9553984499714393e7,1.514314699104314e7
1.0136213854620262e9,1.4462735477931041e7,329.9050717110142,2.9555323530684903e7,1.5092588052753862e7
1.030233806711794e9,1.451214188077342e7,329.37084343620995,2.9556583401912667e7,1.5044441521139247e7
1.0468462279615618e9,1.4559130643462475e7,328.8611445361783,2.9557766494869683e7,1.4998635851407208e7
1.0634586492113298e9,1.460379061674276e7,328.3753477550496,2.9558875632740363e7,1.4955085015997604e7
1.0800710704610977e9,1.4646221214677442e7,327.9126950463638,2.9559913957793463e7,1.4913692743116021e7
1.0966834917108655e9,1.4686528528391331e7,327.47233190741787,2.9560884828215998e7,1.4874356299824666e7
1.1132959129606333e9,1.4724822058885235e7,327.0533380576279,2.956179171750024e7,1.4836969658615004e7
1.1299083342104013e9,1.4761212032448612e7,326.65475390698606,2.9562638137814444e7,1.4801426105365831e7
1.146520755460169e9,1.4795803386145454e7,326.2756544044316,2.9563427397437043e7,1.476762401129159e7
1.163133176709937e9,1.4828697636235045e7,325.9151054150973,2.9564162729542956e7,1.473546509330791e7
