"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,1.0628030518014356e6,353.15,2.431470625410338e7,2.3251903202301946e7
1.04566417280969e6,1.0628030518014356e6,353.14999999912106,2.431470625410338e7,2.3251903202301946e7
2.09132834561938e6,1.0922464331506975e6,353.1499999984984,2.434396311948398e7,2.3251716686333284e7
3.13699251842907e6,1.1034119993415698e6,353.1499999995006,2.435492225535241e7,2.325151025601084e7
4.18265669123876e6,1.109226072557278e6,353.14999999961367,2.4360514643872384e7,2.3251288571315106e7
5.22832086404845e6,1.1132100831145272e6,353.15000000110024,2.436426622808031e7,2.3251056144965783e7
6.27398503685814e6,1.1163572679279074e6,353.1500000000745,2.436717450182081e7,2.3250817233892903e7
7.31964920966783e6,1.1190051991368793e6,353.1499999987442,2.436957948333879e7,2.325057428420191e7
8.36531338247752e6,1.1213028409424424e6,353.150000000399,2.437163139729672e7,2.3250328556354277e7
9.410977555287208e6,1.123334023617126e6,353.14999999777325,2.4373414769690648e7,2.325008074607352e7
1.04566417280969e7,1.1251540975334533e6,353.1499999995713,2.4374985368076533e7,2.324983127054308e7
1.1502305900906589e7,1.1268028903374746e6,353.1499999999818,2.4376383280622426e7,2.324958039028495e7
1.254797007371628e7,1.1283103729204237e6,353.1500000008387,2.43776386410974e7,2.3249328268176977e7
1.359363424652597e7,1.1296996878293902e6,353.15000000196983,2.4378774692200854e7,2.3249075004371464e7
1.463929841933566e7,1.1309890235795453e6,353.1500000001156,2.4379809681273162e7,2.3248820657693617e7
1.568496259214535e7,1.1321928787471019e6,353.15000000016977,2.4380758139961585e7,2.3248565261214484e7
1.673062676495504e7,1.1333229363341965e6,353.1499999997907,2.4381631771914624e7,2.3248308835580427e7
1.777629093776473e7,1.1343886943704896e6,353.14999999995024,2.438244009289813e7,2.324805139852764e7
1.8821955110574417e7,1.13539802506686e6,353.14999999966193,2.438319098494135e7,2.324779295987449e7
1.986761928338411e7,1.1363574908122085e6,353.1500000005067,2.438389101306843e7,2.324753352225622e7
2.09132834561938e7,1.1372726142854467e6,353.15000000001936,2.4384545701071903e7,2.3247273086786456e7
2.1958947629003488e7,1.1381480839403048e6,353.14999999998986,2.438515973770826e7,2.3247011653767955e7
2.3004611801813178e7,1.1389879116888642e6,353.15000000019074,2.4385737135522507e7,2.3246749223833643e7
2.405027597462287e7,1.1397955561362319e6,353.14999999777615,2.438628135368007e7,2.324648579754384e7
2.509594014743256e7,1.1405740184376538e6,353.1500000013279,2.438679539496181e7,2.3246221376524158e7
2.614160432024225e7,1.1413259190252796e6,353.15000000029136,2.4387281881880175e7,2.3245955962854896e7
2.718726849305194e7,1.1420535591715835e6,353.1500000019501,2.4387743117704492e7,2.324568955853291e7
2.8232932665861633e7,1.1427589679164141e6,353.15000000165475,2.4388181135492314e7,2.32454221675759e7
2.927859683867132e7,1.1434439440168515e6,353.14999999981217,2.438859773766498e7,2.3245153793648127e7
3.032426101148101e7,1.144110090434309e6,353.14999999905723,2.4388994530455865e7,2.3244884440021556e7
3.3356687112629108e7,1.1458899725313112e6,353.15000000037116,2.438998403093497e7,2.324409405840366e7
4.166289773751304e7,1.150058437759392e6,353.14999998165575,2.4391983068001136e7,2.3241924630241744e7
4.996910836239697e7,1.153862784332294e6,353.14999976512524,2.4393568982927933e7,2.323970619859564e7
5.82753189872809e7,1.157407007846482e6,353.1499982988219,2.4394826898427226e7,2.3237419890580744e7
6.658152961216483e7,1.1607638049733974e6,353.14999132954017,2.4395833733387884e7,2.3235069928414486e7
7.488774023704876e7,1.1639857639988214e6,353.14996531556847,2.4396644401564013e7,2.323265863756519e7
8.319395086193268e7,1.1671117345557772e6,353.1498842238838,2.4397299058880262e7,2.3230187324324485e7
9.150016148681663e7,1.1701710985929593e6,353.14966489951377,2.4397827731296644e7,2.3227656632703684e7
9.980637211170053e7,1.1731868895295635e6,353.149136688952,2.4398253483267635e7,2.322506659373807e7
1.0811258273658447e8,1.176177833173804e6,353.1479825761652,2.4398594402421124e7,2.322241656924732e7
1.164187933614684e8,1.1791599139100611e6,353.1456623802736,2.4398864984455608e7,2.3219705070545547e7
1.2472500398635234e8,1.1821475681126043e6,353.1413232145277,2.439907709404019e7,2.3216929525927585e7
1.3303121461123627e8,1.1851546495245397e6,353.133707504373,2.4399240673298493e7,2.3214086023773953e7
1.413374252361202e8,1.1881951275179982e6,353.12107281534014,2.4399364229158964e7,2.3211169101640966e7
1.496436358610041e8,1.191283591420114e6,353.1011393920173,2.4399455208250027e7,2.3208171616829913e7
1.5794984648588806e8,1.19443550814626e6,353.07107979231034,2.439952024831802e7,2.320508474017176e7
1.6625605711077198e8,1.1976672750700004e6,353.02755996134965,2.439956536279086e7,2.320189808772086e7
1.745622677356559e8,1.2009960590599515e6,352.96683405224815,2.439959603592446e7,2.319859997686451e7
1.8286847836053982e8,1.2044394969389103e6,352.88488685239327,2.439961730126277e7,2.319517780432386e7
1.9117468898542377e8,1.208015259930186e6,352.7776104222382,2.439963371514861e7,2.3191618455218423e7
1.9948089961030766e8,1.2117406352543756e6,352.6409966844957,2.439964941060179e7,2.3187908775347415e7
2.077871102351916e8,1.2156320261054263e6,352.4713257529813,2.4399668002363756e7,2.318403597625833e7
2.1609332086007556e8,1.2197046244687624e6,352.26533169467024,2.4399692633201357e7,2.3179988008732595e7
2.2439953148495948e8,1.2239720374674536e6,352.02033161556267,2.4399725920937043e7,2.317575388346959e7
2.327057421098434e8,1.2284460893124342e6,351.7343099914665,2.4399769946300495e7,2.317132385698806e7
2.4101195273472732e8,1.2331366662289016e6,351.4059565988398,2.439982633158972e7,2.316668966536082e7
2.493181633596113e8,1.2380516229230873e6,351.0346617895513,2.4399896159990832e7,2.3161844537067745e7
2.576243739844952e8,1.2431967350449339e6,350.6204773555256,2.439998014009583e7,2.3156783405050896e7
2.6593058460937914e8,1.2485757387665287e6,350.16405284397285,2.4400078552140653e7,2.3151502813374124e7
2.7423679523426306e8,1.2541902487539575e6,349.6665584624081,2.44001913624329e7,2.3146001113678943e7
2.82543005859147e8,1.2600398204829283e6,349.1296037323712,2.440031825601104e7,2.314027843552811e7
2.908492164840309e8,1.266121877897676e6,348.5551598782382,2.4400458674314972e7,2.3134336796417296e7
2.9915542710891485e8,1.2724316294251233e6,347.94549090461305,2.4400611882899083e7,2.312818025347396e7
3.074616377337988e8,1.2789620271444432e6,347.30309603390265,2.440077699144998e7,2.3121814964305535e7
3.157678483586827e8,1.2857035803120583e6,346.6306643282916,2.4400952997707997e7,2.311524941739594e7
3.2407405898356664e8,1.2926442594275698e6,345.93103990413505,2.440113879853942e7,2.310849453911185e7
