"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,1.1380938870980702e6,353.15,2.432444066216997e7,2.31863467750719e7
2.2814491043120506e6,1.1380938870980702e6,353.1500000002391,2.432444066216997e7,2.31863467750719e7
4.562898208624101e6,1.1684918195659742e6,353.1500000001126,2.435462456658861e7,2.3186132747022636e7
6.844347312936151e6,1.1797065922719464e6,353.15000000163985,2.4365607647018198e7,2.318590105474625e7
9.125796417248202e6,1.185465689593196e6,353.15000000081324,2.4371123258678213e7,2.3185657569085017e7
1.1407245521560254e7,1.189420864776142e6,353.15000000069944,2.4374825313158743e7,2.31854044483826e7
1.3688694625872303e7,1.1925693484304398e6,353.15000000008024,2.43777141674435e7,2.318514481901306e7
1.5970143730184356e7,1.1952337162001766e6,353.15000000020365,2.438011449095856e7,2.3184880774758384e7
1.8251592834496405e7,1.1975542209949084e6,353.14999999950754,2.4382167783409514e7,2.3184613562414605e7
2.0533041938808456e7,1.19961034670775e6,353.14999999705196,2.438395427150226e7,2.318434392479451e7
2.2814491043120507e7,1.2014554390895367e6,353.14999999963766,2.4385527758366585e7,2.3184072319277048e7
2.509594014743256e7,1.2031284827341624e6,353.14999999844196,2.438692751933808e7,2.3183799036603916e7
2.7377389251744606e7,1.2046591576376967e6,353.1499999987081,2.4388183416208677e7,2.318352425857098e7
2.9658838356056657e7,1.2060705706052259e6,353.14999999901767,2.4389318667334132e7,2.3183248096728906e7
3.194028746036871e7,1.2073809881283902e6,353.1499999973635,2.4390351605444618e7,2.3182970617316227e7
3.422173656468076e7,1.208605031783484e6,353.1499999988701,2.43912968912151e7,2.3182691859431617e7
3.650318566899281e7,1.2097544532620087e6,353.1500000001434,2.4392166312989317e7,2.318241185972731e7
3.8784634773304865e7,1.2108389266288541e6,353.1500000003463,2.4392969567415733e7,2.318213064078688e7
4.106608387761691e7,1.2118664496726058e6,353.15000000057466,2.4393714662751663e7,2.3181848213079058e7
4.334753298192897e7,1.212843698952403e6,353.14999999983814,2.4394408282465834e7,2.318156458351343e7
4.5628982086241014e7,1.2137762981493399e6,353.1500000008084,2.4395056055220634e7,2.3181279757071294e7
4.791043119055306e7,1.2146690230024382e6,353.1499999992583,2.4395662761476267e7,2.318099373847383e7
5.019188029486512e7,1.2155259605329596e6,353.14999999939465,2.4396232492371015e7,2.3180706531838056e7
5.2473329399177164e7,1.2163506321168952e6,353.14999999990505,2.4396768774470687e7,2.318041814235379e7
5.475477850348921e7,1.217146092062004e6,353.1499999983881,2.4397274666806895e7,2.318012857474489e7
5.7036227607801266e7,1.217915004875701e6,353.1499999998375,2.4397752839090217e7,2.3179837834214516e7
5.931767671211331e7,1.2186597033039406e6,353.149999998823,2.439820563159073e7,2.317954592828679e7
6.1599125816425376e7,1.2193822460508682e6,353.1500000005955,2.4398635108564332e7,2.3179252862513464e7
6.388057492073742e7,1.2200844563971683e6,353.1499999998041,2.4399043099169087e7,2.317895864277192e7
6.616202402504947e7,1.2207679558119103e6,353.1500000004729,2.439943123081666e7,2.317866327500475e7
7.277822642755441e7,1.2225994215091094e6,353.15000000074474,2.440039607635282e7,2.317779665484371e7
9.090086779093753e7,1.2269184335294068e6,353.14999999813597,2.4402330433263406e7,2.3175411999734e7
1.0902350915432064e8,1.2308840055329502e6,353.149999990467,2.4403852249898624e7,2.3172968244365674e7
1.2714615051770376e8,1.2346005643480308e6,353.1499999172126,2.440504757754264e7,2.317044701319461e7
1.452687918810869e8,1.2381407421348318e6,353.1499995189397,2.4405993575782906e7,2.3167852833648074e7
1.6339143324447003e8,1.2415568777326867e6,353.14999785314086,2.4406745296740767e7,2.316518841900808e7
1.815140746078531e8,1.2448872906998657e6,353.14999206594814,2.4407342923791453e7,2.3162455633091588e7
1.9963671597123623e8,1.2481607595792003e6,353.149974625477,2.440781661130954e7,2.315965585173034e7
2.1775935733461934e8,1.2513992765306048e6,353.1499279287275,2.4408189480278306e7,2.31567902037477e7
2.3588199869800246e8,1.254619963224616e6,353.14981467639353,2.4408479617578354e7,2.3153859654353738e7
2.540046400613856e8,1.257836421963051e6,353.1495624090167,2.4408701431775518e7,2.3150865009812467e7
2.721272814247687e8,1.2610597129074708e6,353.14904056395835,2.4408866590456236e7,2.3147806877548765e7
2.9024992278815186e8,1.2642991101293936e6,353.1480290934549,2.4408984683515776e7,2.3144685573386382e7
3.083725641515349e8,1.2675627097022869e6,353.1461788571339,2.4409063716881126e7,2.314150100717884e7
3.26495205514918e8,1.2708579462102652e6,353.1429654531344,2.4409110473228604e7,2.313825252701834e7
3.446178468783012e8,1.27419200773184e6,353.1376398791876,2.440913077955135e7,2.313493877181951e7
3.627404882416843e8,1.2775722105451562e6,353.12918103491893,2.4409129726433802e7,2.3131557515888646e7
3.808631296050674e8,1.28100627305568e6,353.1162560830046,2.4409111830842912e7,2.3128105557787232e7
3.9898577096845055e8,1.2845025207080767e6,353.09719494643633,2.4409081153257433e7,2.3124578632549357e7
4.171084123318336e8,1.2880700102324598e6,353.06998448096846,2.440904140387691e7,2.3120971393644452e7
4.352310536952168e8,1.291718516222369e6,353.0322861219657,2.4408995992697917e7,2.3117277476475548e7
4.533536950585998e8,1.295458513270788e6,352.98147827197147,2.4408948074473485e7,2.3113489561202697e7
4.7147633642198294e8,1.2993009828901552e6,352.914722003241,2.440890059203895e7,2.3109599609148797e7
4.895989777853661e8,1.3032572493330836e6,352.82904576614004,2.440885622048459e7,2.3105598971151505e7
5.077216191487492e8,1.3073387495307773e6,352.7214427872143,2.4408817458594553e7,2.3101478709063776e7
5.258442605121323e8,1.3115567636060417e6,352.5889734035682,2.4408786513290923e7,2.309722974968488e7
