"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,2.3744124364670713e7,353.15,3.3775149767023146e7,1.0031025402352434e7
1.2040981383869157e6,2.3744124364670713e7,353.15000000000487,3.3775149767023146e7,1.0031025402352434e7
2.4081962767738313e6,2.436082100551527e7,353.15000000002567,3.4387223489019044e7,1.0026402483503776e7
3.6122944151607472e6,2.4585947520283576e7,353.1499999999124,3.460734904929808e7,1.0021401529014502e7
4.816392553547663e6,2.4701271799283054e7,353.1499999999525,3.471747633392437e7,1.0016204534641314e7
6.020490691934578e6,2.47805431640577e7,353.1499999999501,3.4791384272346705e7,1.0010841108289002e7
7.2245888303214945e6,2.4843730105482623e7,353.14999999997457,3.484908975547152e7,1.0005359649988895e7
8.42868696870841e6,2.489730766839531e7,353.1500000000037,3.489709998946186e7,9.99979232106655e6
9.632785107095325e6,2.4944048874139406e7,353.15000000007,3.4938208169872664e7,9.99415929573326e6
1.0836883245482242e7,2.498549743940796e7,353.14999999995524,3.4973971977066025e7,9.988474537658067e6
1.2040981383869156e7,2.5022714028891414e7,353.15000000002436,3.500546081641108e7,9.982746787519665e6
1.3245079522256073e7,2.5056476516032588e7,353.1499999999758,3.503345807923781e7,9.976981563205224e6
1.4449177660642989e7,2.508737867629624e7,353.15000000004284,3.5058561054027736e7,9.971182377731495e6
1.5653275799029905e7,2.5115883732645314e7,353.1500000000876,3.508123520303958e7,9.965351470394265e6
1.685737393741682e7,2.5142358484975636e7,353.1500000000672,3.510184875112003e7,9.959490266144395e6
1.8061472075803734e7,2.516709632417298e7,353.1500000000428,3.512069612080949e7,9.953599796636507e6
1.926557021419065e7,2.5190334085261054e7,353.15000000011685,3.513801503718465e7,9.947680951923596e6
2.0469668352577567e7,2.5212266717970822e7,353.15000000003977,3.515400105868485e7,9.941734340714026e6
2.1673766490964483e7,2.523305553570074e7,353.15000000004244,3.5168815858076386e7,9.935760322375646e6
2.28778646293514e7,2.5252835290282667e7,353.1500000000268,3.5182594461647995e7,9.92975917136533e6
2.4081962767738312e7,2.527171953063066e7,353.1500000000376,3.519545064305862e7,9.923731112427961e6
2.528606090612523e7,2.528980471179822e7,353.1499999999164,3.52074810535719e7,9.917676341773681e6
2.6490159044512145e7,2.530717337627221e7,353.1499999999555,3.5218768416660845e7,9.911595040388636e6
2.769425718289906e7,2.532389664226326e7,353.1499999999986,3.522938402311164e7,9.905487380848382e6
2.8898355321285978e7,2.5340036168922458e7,353.1500000000293,3.523938970021164e7,9.899353531289179e6
3.0102453459672894e7,2.535564565333764e7,353.1500000000396,3.524883933623109e7,9.893193682893451e6
3.130655159805981e7,2.5370772170743298e7,353.15000000000464,3.5257780176958494e7,9.887008006215196e6
3.2510649736446727e7,2.5385457211768895e7,353.150000000004,3.526625387145742e7,9.880796659688523e6
3.371474787483364e7,2.5399737491593525e7,353.1500000000424,3.527429729028317e7,9.87455979868965e6
3.4918846013220556e7,2.5413645640166342e7,353.1500000000148,3.528194321241255e7,9.868297572246207e6
