q_m3_s,k_m2,L_m,t_life_s,R_th,R_pr,R_ze,c_CO2,COP,c_CO2_heat,heat_per_m3
0.013888888888888888,2.0e-14,500.0,1.0576335144873849e9,-0.3109192087334031,-3.788318493669993,-5.077606079429241,0.2865083523909441,1.6459918591020446,0.03341450305228407,154359.8334911328
0.013888888888888888,2.0e-14,650.0,1.4291956059324093e9,-0.4171418544683887,-4.214297409743343,-5.6207291974227624,0.31254039726209315,1.506482033476301,0.036508898730829256,154966.697066018
0.013888888888888888,2.0e-14,800.0,1.7765941755595894e9,-0.5235231906527953,-4.636011430730795,-6.158414574181763,0.33831180965577073,1.389506817652553,0.039582389450177405,155609.4577641638
0.013888888888888888,2.0e-14,900.0,2.028329490159246e9,-0.6034100843091471,-4.9511081262883545,-6.560162861017653,0.35756771882873273,1.3148764857132724,0.04182902394072741,155504.4889591748
0.013888888888888888,2.0e-14,1000.0,2.255901282941059e9,-0.6767241870505755,-5.239711644024143,-6.928132346130783,0.3752046004681421,1.2523011627065512,0.043919147915770174,155750.9071207576
0.013888888888888888,5.0e-14,500.0,1.0576335144873849e9,0.38847613288727284,-1.0563054404640468,-1.5942894365916598,0.11955199913946951,3.944646839830814,0.013942946538240407,154359.8334907042
0.013888888888888888,5.0e-14,650.0,1.4291956059324093e9,0.35212369091246043,-1.2093538730993671,-1.7894261882016929,0.128904958911628,3.652586348783039,0.015057823347098907,154966.69706590372
0.013888888888888888,5.0e-14,800.0,1.7765941755595894e9,0.3130415259375664,-1.3681805065495336,-1.9919301458506553,0.13861103095580482,3.3914080486119413,0.016217452813591913,155609.45776342996
0.013888888888888888,5.0e-14,900.0,2.028329490159246e9,0.2827322504417292,-1.4896146311677925,-2.1467586547389352,0.14603200523803173,3.2195502949590225,0.017083131170870566,155504.48895936908
0.013888888888888888,5.0e-14,1000.0,2.255901282941059e9,0.25465926444480225,-1.6014950366203882,-2.289406171690995,0.1528691411268015,3.0736691130420577,0.017893923508755842,155750.90712113059
0.013888888888888888,1.0e-13,500.0,1.0576335144873849e9,0.6216079134276374,-0.1456344227279972,-0.4331838889781965,0.06389988138893316,7.380145398571487,0.0074524277002247,154359.83349005246
0.013888888888888888,1.0e-13,650.0,1.4291956059324093e9,0.6085455393713429,-0.20770602755667034,-0.5123251851347547,0.0676931461284632,6.9554529541051995,0.007907464885883281,154966.6970652346
0.013888888888888888,1.0e-13,800.0,1.7765941755595894e9,0.591896431468373,-0.27890353181986516,-0.603102003070328,0.07204410472232509,6.524983103358272,0.00842914060140518,155609.4577636513
0.013888888888888888,1.0e-13,900.0,2.028329490159246e9,0.5781130286889453,-0.3357834661394064,-0.6756239193277431,0.07552010070851928,6.225592671726912,0.008834500247627603,155504.4889584243
0.013888888888888888,1.0e-13,1000.0,2.255901282941059e9,0.5651204149404702,-0.3887561674966325,-0.7431641135582063,0.07875732134701642,5.966037815696685,0.009218848706472263,155750.90712088873
0.013888888888888888,2.0e-13,500.0,1.0576335144873849e9,0.7381738036994762,0.30970108614586095,0.1473688848359727,0.03607382251330849,13.072926092762412,0.004207168281204447,154359.8334913233
0.013888888888888888,2.0e-13,650.0,1.4291956059324093e9,0.7367564636028363,0.2931178952223784,0.12622531640853252,0.037087239736410205,12.695377077319357,0.004332285655245249,154966.69706595305
0.013888888888888888,2.0e-13,800.0,1.7765941755595894e9,0.7313238842340033,0.26573495554621773,0.0913120683214276,0.03876064160550892,12.127935620783816,0.004534984495279288,155609.4577622158
0.013888888888888888,2.0e-13,900.0,2.028329490159246e9,0.7258034178163371,0.2411321163892372,0.05994344839627747,0.04026414844287994,11.676824264748289,0.0047101847859475,155504.48895949335
0.013888888888888888,2.0e-13,1000.0,2.255901282941059e9,0.72035099019025,0.21761326707279297,0.029956915517811045,0.04170141145666265,11.267464121861856,0.004881311305290556,155750.90712099592
0.013888888888888888,5.0e-13,500.0,1.0576335144873849e9,0.8081133378592298,0.5829023914588926,0.49570054911008804,0.01937818718862323,24.33614718519181,0.0022600126298326583,154359.83348732462
0.013888888888888888,5.0e-13,650.0,1.4291956059324093e9,0.8136830181358725,0.5936122488687947,0.5093556173077132,0.018723695902462544,25.146557371555897,0.0021871781169621376,154966.69705986633
0.013888888888888888,5.0e-13,800.0,1.7765941755595894e9,0.8149803558933212,0.5925180479655593,0.5079605111560881,0.018790563735438044,25.01716141306308,0.0021984908316289207,155609.45776139226
0.013888888888888888,5.0e-13,900.0,2.028329490159246e9,0.8144176512885376,0.5872814658907457,0.5012838690107007,0.019110577084454433,24.60194600427421,0.0022355955090074824,155504.48895593
0.013888888888888888,5.0e-13,1000.0,2.255901282941059e9,0.8134893353392912,0.5814349278109232,0.4938295329589271,0.019467865522665797,24.135627856582598,0.0022787888646120156,155750.90712288485
0.013888888888888888,1.0e-12,500.0,1.0576335144873849e9,0.8314265159120812,0.6739694932290916,0.6118111038670918,0.013812975413777734,34.141117426448226,0.001610960746041456,154359.8334846494
0.013888888888888888,1.0e-12,650.0,1.4291956059324093e9,0.8393252029859495,0.6937770334382395,0.6370657176337553,0.012602514623218698,37.36051949074856,0.0014721422707631097,154966.6970638908
0.013888888888888888,1.0e-12,800.0,1.7765941755595894e9,0.8428658464434611,0.701445745427873,0.6468433254205381,0.012133871112741088,38.74168117080679,0.001419659610472568,155609.45775799186
0.013888888888888888,1.0e-12,900.0,2.028329490159246e9,0.8439557291140265,0.7026645823967959,0.6483973425559146,0.012059386631306917,38.98684070081532,0.0014107324166651389,155504.48895491604
