"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,248810.1084688753,353.15,2.512103296303471e7,2.4872222854565836e7
3.7241379310344825e6,248810.1084688753,353.1500000013191,2.512103296303471e7,2.4872222854565836e7
7.448275862068965e6,255972.00314684957,353.1500000021899,2.512815638169451e7,2.487218437854766e7
1.1172413793103449e7,258835.60606036708,353.14999999752763,2.5130974916257795e7,2.4872139310197428e7
1.489655172413793e7,260366.6532408297,353.15000000293094,2.5132456410405934e7,2.4872089757165104e7
1.8620689655172415e7,261406.79470649734,353.1499999983897,2.5133444392806385e7,2.4872037598099887e7
2.2344827586206898e7,262215.22042315826,353.14999999920474,2.5134199243170153e7,2.4871984022746995e7
2.606896551724138e7,262887.2454764731,353.15000000202053,2.5134816843111943e7,2.487192959763547e7
2.979310344827586e7,263466.2447652221,353.1499999980698,2.5135340835677285e7,2.4871874590912063e7
3.3517241379310343e7,263976.1405976862,353.14999999488384,2.5135795282004796e7,2.487181914140711e7
3.724137931034483e7,264432.1168600917,353.14999999637047,2.5136195447975565e7,2.4871763331115473e7
4.096551724137931e7,264844.720422402,353.1500000018792,2.5136551933203977e7,2.4871707212781575e7
4.4689655172413796e7,265221.6944744773,353.15000000301177,2.5136872516944204e7,2.4871650822469726e7
4.841379310344828e7,265568.92466838285,353.15000000286045,2.5137163109300476e7,2.4871594184632093e7
5.213793103448276e7,265890.9942451902,353.15000000668965,2.5137428309726074e7,2.4871537315480884e7
5.586206896551724e7,266191.5385964401,353.15000000221096,2.5137671764162067e7,2.4871480225565627e7
5.958620689655172e7,266473.48392974585,353.1500000020107,2.513789640514221e7,2.4871422921212465e7
6.3310344827586204e7,266739.21605949104,353.14999999316194,2.5138104622555614e7,2.4871365406496122e7
6.703448275862069e7,266990.70307710394,353.14999999771027,2.5138298386318177e7,2.4871307683241073e7
7.075862068965517e7,267229.5853998624,353.1500000042229,2.51384793382434e7,2.4871249752843536e7
7.448275862068966e7,267457.24389599264,353.1500000036616,2.5138648859574102e7,2.487119161567811e7
