"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,268341.1886778958,353.15,2.5123937918313816e7,2.485559672963592e7
4.096551724137931e6,268341.1886778958,353.1499999995518,2.5123937918313816e7,2.485559672963592e7
8.193103448275862e6,275848.2436090484,353.15000000192475,2.5131399788074795e7,2.4855551544465747e7
1.2289655172413792e7,278700.22607084736,353.1499999951106,2.513420162801694e7,2.4855501401946094e7
1.6386206896551725e7,280185.7985588275,353.1499999953028,2.5135633184695482e7,2.4855447386136655e7
2.0482758620689657e7,281202.2861420885,353.1500000015852,2.5136592921842765e7,2.4855390635700677e7
2.4579310344827585e7,282004.28021920845,353.1500000039006,2.5137336523978703e7,2.4855332243759494e7
2.8675862068965517e7,282678.45295711607,353.15000000644415,2.51379512807255e7,2.4855272827768385e7
3.277241379310345e7,283263.07595003396,353.1500000069883,2.5138475783098977e7,2.4855212707148943e7
3.686896551724138e7,283779.65650521964,353.15000000145585,2.5138931716945715e7,2.4855152060440496e7
4.096551724137931e7,284242.3636446297,353.1500000043564,2.5139333358709436e7,2.4855090995064806e7
4.506206896551724e7,284661.37339996547,353.15000000314876,2.5139690951414306e7,2.485502957801434e7
4.915862068965517e7,285044.3314711377,353.15000000637417,2.5140012183751214e7,2.4854967852280077e7
5.32551724137931e7,285397.1337560676,353.1500000042137,2.514030297858631e7,2.485490584483024e7
5.7351724137931034e7,285724.4128604196,353.1500000014145,2.5140567984987654e7,2.4854843572127234e7
6.1448275862068966e7,286029.86076585203,353.1499999984278,2.5140810904140487e7,2.4854781043374635e7
6.55448275862069e7,286316.45685996115,353.14999999765047,2.5141034721130796e7,2.4854718264270835e7
6.964137931034483e7,286586.6341376677,353.1499999964633,2.514124187182998e7,2.485465523769231e7
7.373793103448276e7,286842.4009699486,353.1499999982195,2.5141434365813836e7,2.4854591964843888e7
7.78344827586207e7,287085.4319256693,353.14999999385236,2.5141613878538705e7,2.4854528446613036e7
8.193103448275863e7,287317.13667663187,353.1499999999219,2.5141781819717064e7,2.4854464683040433e7
8.602758620689656e7,287538.7120144777,353.15000000393104,2.5141939386180244e7,2.4854400674165767e7
9.012413793103448e7,287751.18212014064,353.1499999984092,2.5142087602203988e7,2.4854336420083847e7
9.422068965517241e7,287955.42984997854,353.1499999938842,2.514222735072849e7,2.485427192087851e7
9.831724137931034e7,288152.2211425416,353.1499999922123,2.5142359398322664e7,2.4854207177180123e7
1.0241379310344827e8,288342.22497775033,353.14999999595767,2.514248441405236e7,2.485414218907461e7
1.065103448275862e8,288526.0284549631,353.15000000079317,2.5142602985769995e7,2.485407695731503e7
1.1060689655172414e8,288704.14950016513,353.14999999663934,2.514271563238759e7,2.4854011482887425e7
1.1470344827586207e8,288877.0477266386,353.1499999944336,2.5142822813932255e7,2.4853945766205616e7
1.188e8,289045.1320064105,353.1499999982684,2.5142924940256562e7,2.485387980825015e7
1.3068e8,289493.81794854254,353.1500000061161,2.514318000924025e7,2.485368619129171e7
1.632208695652174e8,290542.3000385463,353.1499999868658,2.5143696998070017e7,2.485315469803147e7
1.9576173913043478e8,291497.07677319646,353.14999981988257,2.5144108313052315e7,2.485261123627912e7
2.283026086956522e8,292384.7510345429,353.1499986900006,2.5144435768890735e7,2.485205101785619e7
2.6084347826086956e8,293223.8978621848,353.1499932278698,2.514469898241768e7,2.4851475084555496e7
2.9338434782608694e8,294027.9389776513,353.14997276122676,2.5144911948452726e7,2.4850884009475075e7
3.259252173913044e8,294806.7872311324,353.1499083671575,2.5145084900742292e7,2.485027811351116e7
3.5846608695652175e8,295567.94597194344,353.1497327046498,2.514522550146047e7,2.4849657555488527e7
3.910069565217391e8,296317.255674012,353.14930604087255,2.5145339613486286e7,2.4849022357812274e7
4.235478260869565e8,297059.4189485982,353.1483658831172,2.514543181237035e7,2.484837239342175e7
4.5608869565217394e8,297798.3845647387,353.14645974804233,2.5145505729785502e7,2.4847707345220763e7
4.886295652173913e8,298537.63995324075,353.14286470460024,2.514556428937064e7,2.48470266494174e7
5.211704347826087e8,299280.4385093376,353.1365016162988,2.5145609872947384e7,2.4846329434438046e7
5.537113043478261e8,300029.9757723585,353.1258560545309,2.514564443892127e7,2.484561446314891e7
5.862521739130435e8,300789.5117589012,353.1089198123671,2.5145669607327353e7,2.4844880095568452e7
6.187930434782609e8,301562.45194024965,353.083166936604,2.5145686726041473e7,2.4844124274101224e7
6.513339130434783e8,302352.3750406429,353.0455743464704,2.5145696919060744e7,2.48433445440201e7
6.838747826086956e8,303163.0216170512,352.99269126704786,2.5145701126457565e7,2.4842538104840513e7
7.16415652173913e8,303998.2446323931,352.92075527638514,2.514570013731633e7,2.484170189268394e7
7.489565217391304e8,304861.93137333915,352.8258449294102,2.5145694609185413e7,2.4840832677812073e7
7.814973913043479e8,305757.92754218355,352.70405415540995,2.514568510548641e7,2.4839927177944228e7
8.140382608695652e8,306689.934244778,352.5516707681274,2.514567209855553e7,2.4838982164310753e7
8.465791304347826e8,307661.43891147897,352.3653415956602,2.5145655997325756e7,2.4837994558414277e7
8.7912e8,308675.6327779703,352.14220953841414,2.5145637155903798e7,2.4836961523125827e7
9.116608695652174e8,309735.36417821795,351.8800127657237,2.5145615878611185e7,2.4835880514432967e7
9.442017391304348e8,310843.09808328375,351.5771418355861,2.5145592447535906e7,2.4834749349452622e7
9.767426086956521e8,312000.8880510032,351.2326554752081,2.5145567101740453e7,2.483356621368945e7
1.0092834782608696e9,313210.3589920886,350.84626082607303,2.5145540071767338e7,2.483232971277525e7
1.041824347826087e9,314472.7038924247,350.4182662562882,2.51455115612619e7,2.4831038857369475e7
1.0743652173913043e9,315788.6642870493,349.94951601766206,2.5145481758006234e7,2.4829693093719184e7
1.1069060869565217e9,317158.5313641168,349.44131645994935,2.5145450841085687e7,2.482829230972157e7
1.1394469565217392e9,318582.1343420632,348.8953613253914,2.5145418970242884e7,2.482683683590082e7
1.1719878260869565e9,320058.8104536757,348.3136624306997,2.514538629868249e7,2.4825327488228813e7
1.204528695652174e9,321587.40172510594,347.69848905928075,2.514535296609655e7,2.4823765564371444e7
1.2370695652173913e9,323166.2092408575,347.0523184201259,2.514531910543298e7,2.4822152896192122e7
1.2696104347826087e9,324792.96672207117,346.37779631494766,2.514528483923167e7,2.48204918725096e7
1.302151304347826e9,326464.8116716929,345.67770732004215,2.5145250283140115e7,2.4818785471468423e7
1.3346921739130435e9,328178.2439717576,344.95495236111054,2.5145215547558647e7,2.481703730358689e7
1.3672330434782608e9,329929.11475195363,344.2125308832859,2.5145180734790042e7,2.481525162003809e7
1.3997739130434783e9,331712.6119314432,343.4535255640226,2.514514594514883e7,2.4813433333217386e7
1.4323147826086957e9,333523.2716714181,342.68108743857795,2.514511127252061e7,2.481158800084919e7
1.464855652173913e9,335355.0144281164,341.89841910048983,2.514507680641454e7,2.4809721791986424e7
1.4973965217391305e9,337201.2062137015,341.10875554401963,2.5145042634259935e7,2.4807841428046234e7
1.5299373913043478e9,339054.7521103956,340.3153409764833,2.5145008838226035e7,2.480595408611564e7
1.5624782608695652e9,340908.2170309983,339.52140162734486,2.5144975496167906e7,2.4804067279136907e7
1.5950191304347825e9,342753.97384994105,338.7301142942349,2.514494268155815e7,2.480218870770821e7
1.62756e9,344584.3700449392,337.9445714421381,2.5144910462366495e7,2.4800326092321556e7
1.6601008695652175e9,346391.90254994854,337.1677433860409,2.514487890181242e7,2.479848699926247e7
1.6926417391304348e9,348169.4004658386,336.40243894093044,2.5144848055552676e7,2.4796678655086838e7
1.7251826086956522e9,349910.19603027403,335.6512662581495,2.5144817972181797e7,2.4794907776151523e7
1.7577234782608695e9,351608.27513259277,334.9165958192653,2.5144788693083297e7,2.4793180417950705e7
1.790264347826087e9,353258.40180768445,334.2005278717066,2.5144760251188107e7,2.4791501849380422e7
1.8228052173913043e9,354856.2047426887,333.50486625680367,2.5144732671814147e7,2.478987646707146e7
1.8553460869565217e9,356398.23065559193,332.8311005952646,2.5144705971439485e7,2.4788307740783893e7
1.8878869565217392e9,357881.9560196027,332.18039783457374,2.514468015834078e7,2.4786798202321175e7
1.9204278260869565e9,359305.7624651864,331.55360397809744,2.5144655233184043e7,2.4785349470718857e7
1.952968695652174e9,360668.8815741241,330.9512553958023,2.5144631189491227e7,2.4783962307917103e7
1.9855095652173913e9,361971.31367965415,330.3735988638805,2.514460801450333e7,2.4782636700823676e7
2.0180504347826087e9,363213.7304126844,329.82061863500894,2.514458568989977e7,2.4781371959487084e7
