"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,3.106940866515618e6,353.15,2.618950563775609e7,2.3082564771240473e7
4.96551724137931e6,3.106940866515618e6,353.14999999994643,2.618950563775609e7,2.3082564771240473e7
9.93103448275862e6,3.181583860593915e6,353.1499999999774,2.6263556281250622e7,2.3081972420656707e7
1.489655172413793e7,3.211451045123711e6,353.149999999673,2.6292769367966782e7,2.308131832284307e7
1.986206896551724e7,3.226817653625224e6,353.149999999401,2.6307460786496367e7,2.3080643132871144e7
2.482758620689655e7,3.237057734699648e6,353.14999999988856,2.631700700173455e7,2.3079949267034903e7
2.979310344827586e7,3.245052851156052e6,353.1499999997609,2.632429459355073e7,2.307924174239468e7
3.475862068965517e7,3.251785661902312e6,353.1499999995049,2.63303098072444e7,2.307852414534209e7
3.972413793103448e7,3.257660525633812e6,353.14999999931746,2.6335459188297153e7,2.307779866266334e7
4.4689655172413796e7,3.2628864318427965e6,353.14999999930393,2.633995309093247e7,2.3077066659089673e7
4.96551724137931e7,3.267594557479538e6,353.14999999988476,2.6343923573371004e7,2.3076329015891466e7
5.4620689655172415e7,3.2718779902372137e6,353.1500000001121,2.6347464297885202e7,2.307558630764799e7
5.958620689655172e7,3.275807260249153e6,353.14999999977306,2.6350646171703454e7,2.30748389114543e7
6.4551724137931034e7,3.279437668140378e6,353.14999999933275,2.635352474568392e7,2.307408707754354e7
6.951724137931034e7,3.2828132501697987e6,353.14999999964726,2.635614426804492e7,2.307333101787512e7
7.448275862068966e7,3.2859697750469334e6,353.1499999999081,2.6358540658229776e7,2.3072570883182842e7
7.944827586206897e7,3.2889365554830916e6,353.1500000001131,2.6360743338200536e7,2.3071806782717444e7
8.441379310344827e7,3.2917378255654946e6,353.14999999984235,2.6362776627281062e7,2.3071038801715568e7
8.937931034482759e7,3.2943937904932797e6,353.14999999948657,2.6364660801058277e7,2.3070267010564998e7
9.43448275862069e7,3.2969214292884357e6,353.1499999997886,2.6366412897719856e7,2.306949146843142e7
9.93103448275862e7,3.2993351142194495e6,353.1500000000006,2.6368047341066837e7,2.3068712226847388e7
