"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,1.3418429773482159e7,353.15,3.1198270234176207e7,1.777984046069405e7
819310.3448275862,1.3418429773482159e7,353.14999999993296,3.1198270234176207e7,1.777984046069405e7
1.6386206896551724e6,1.3793812500439234e7,353.15000000008723,3.1571395724595387e7,1.7777583224156152e7
2.4579310344827585e6,1.3936127714202914e7,353.15000000003226,3.171120159907119e7,1.7775073884868275e7
3.277241379310345e6,1.4010209960359592e7,353.1500000000816,3.1782579729327906e7,1.7772369768968314e7
4.096551724137931e6,1.4060931050481472e7,353.1500000000837,3.1830460282663327e7,1.7769529232181855e7
4.915862068965517e6,1.4100979113678623e7,353.1500000001053,3.186758611475293e7,1.7766607001074307e7
5.735172413793104e6,1.41346608701225e7,353.1499999999599,3.189829480732058e7,1.776363393719808e7
6.55448275862069e6,1.4163876394115545e7,353.15000000005125,3.1924502349074036e7,1.776062595495849e7
7.3737931034482755e6,1.4189694746731158e7,353.15000000007007,3.194728665734832e7,1.775759191061716e7
8.193103448275862e6,1.4212821603352893e7,353.14999999996314,3.1967358722419288e7,1.7754537119066395e7
9.012413793103449e6,1.4233764631456215e7,353.1500000000444,3.1985229530012626e7,1.775146489855641e7
9.831724137931034e6,1.4252905722074874e7,353.1500000000069,3.200128307643131e7,1.7748377354356438e7
1.065103448275862e7,1.4270539527671676e7,353.15000000017994,3.2015815360322166e7,1.774527583265049e7
1.1470344827586208e7,1.428689766387083e7,353.15000000019035,3.2029058784790114e7,1.7742161120919283e7
1.2289655172413792e7,1.4302164715643186e7,353.15000000005784,3.204119839795351e7,1.7739033682310324e7
1.310896551724138e7,1.4316489650537789e7,353.1499999999443,3.205238342604984e7,1.773589377551205e7
1.3928275862068966e7,1.432999409650296e7,353.1499999999045,3.206273563122295e7,1.773274153471999e7
1.4747586206896551e7,1.434277844311472e7,353.1500000000232,3.207235546451461e7,1.772957702139989e7
1.5566896551724138e7,1.4354926393561527e7,353.14999999992256,3.208132664971063e7,1.7726400256149102e7
1.6386206896551725e7,1.4366508395947155e7,353.1499999998562,3.2089719636637453e7,1.77232112406903e7
1.720551724137931e7,1.437758425780683e7,353.14999999991676,3.209759422813098e7,1.772000997032415e7
1.8024827586206898e7,1.438820515768639e7,353.14999999978414,3.210500160034206e7,1.771679644265567e7
1.8844137931034483e7,1.4398415209910035e7,353.14999999990647,3.2111985871568643e7,1.7713570661658607e7
1.9663448275862068e7,1.4408252693186134e7,353.1500000000873,3.2118585332714833e7,1.77103326395287e7
2.0482758620689657e7,1.4417751025571052e7,353.1500000000289,3.2124833422296803e7,1.770708239672575e7
2.130206896551724e7,1.4426939544823263e7,353.1499999999929,3.2130759505732615e7,1.770381996090935e7
2.2121379310344826e7,1.4435844138820242e7,353.15000000003965,3.213638950439675e7,1.770054536557651e7
2.2940689655172415e7,1.4444487758984238e7,353.1500000000274,3.2141746408209894e7,1.7697258649225656e7
2.376e7,1.4452890842619725e7,353.1500000001007,3.214685069536657e7,1.7693959852746844e7
2.6136e7,1.4475320846021228e7,353.14999999997116,3.2159596424040478e7,1.768427557801925e7
3.2644173913043477e7,1.452773100919224e7,353.1499999877111,3.218542405411055e7,1.765769304491831e7
3.915234782608695e7,1.4575464025353923e7,353.1499998298379,3.220597720245611e7,1.7630513177102186e7
4.566052173913044e7,1.461984644417369e7,353.1499987464248,3.2222341183488928e7,1.7602494739315238e7
5.2168695652173914e7,1.4661805103306714e7,353.14999353538997,3.2235495295101296e7,1.757369019179458e7
5.867686956521739e7,1.4702009986067481e7,353.1499738519243,3.224613838137053e7,1.754412839530305e7
6.518504347826087e7,1.4740956062458374e7,353.14991177503657,3.2254781559760544e7,1.751382549730217e7
7.169321739130434e7,1.477901801825947e7,353.1497419494991,3.2261807555852894e7,1.7482789537593424e7
7.820139130434783e7,1.48164874544679e7,353.1493283405006,3.2267509254454575e7,1.7451021799986675e7
8.47095652173913e7,1.4853599091523625e7,353.1484146168018,3.2272115269945674e7,1.741851617842205e7
9.121773913043478e7,1.4890549903365925e7,353.1465576618485,3.2275807073515136e7,1.738525717014921e7
9.772591304347827e7,1.492751368288716e7,353.1430475581895,3.2278730771194715e7,1.7351217088307556e7
1.0423408695652173e8,1.496465246745075e7,353.13682183174313,3.228100542883322e7,1.731635296138247e7
1.1074226086956522e8,1.5002125280704878e7,353.1263857348475,3.228272894546967e7,1.728060366476479e7
1.172504347826087e8,1.5040094410460986e7,353.1097526073848,3.2283982338707555e7,1.724388792824657e7
1.2375860869565217e8,1.5078729417811584e7,353.08441804612875,3.228483299765474e7,1.7206103579843156e7
1.3026678260869566e8,1.5118208708910942e7,353.0473783366912,3.2285337163274713e7,1.716712845436377e7
1.3677495652173913e8,1.5158718965574276e7,352.9951978953163,3.2285541831215914e7,1.712682286564164e7
1.432831304347826e8,1.520045280108561e7,352.9241233386639,3.2285486486038283e7,1.7085033684952673e7
1.497913043478261e8,1.5243604909174263e7,352.83023482153163,3.228520401435293e7,1.7041599105178665e7
1.5629947826086956e8,1.5288368371775702e7,352.7096198417865,3.228472264380418e7,1.699635427202848e7
1.6280765217391303e8,1.533492939916161e7,352.55855182810143,3.2284065983808704e7,1.6949136584647093e7
1.6931582608695653e8,1.5383464004571572e7,352.3736559393834,3.2283254492842e7,1.6899790488270428e7
1.75824e8,1.5434133890252784e7,352.1520473259497,3.228230591164491e7,1.6848172021392126e7
1.8233217391304347e8,1.5487083971207462e7,351.8914317164397,3.228123541721438e7,1.6794151446006916e7
1.8884034782608697e8,1.5542440480598766e7,351.5901639615354,3.2280057151301134e7,1.6737616670702368e7
1.9534852173913044e8,1.5600309514175165e7,351.2472652629265,3.227878304012979e7,1.6678473525954623e7
2.018566956521739e8,1.5660776024316058e7,350.8624046463318,3.2277424616598573e7,1.6616648592282515e7
2.083648695652174e8,1.572390378694782e7,350.43585266263614,3.2275992041792616e7,1.6552088254844796e7
2.1487304347826087e8,1.5789734167190447e7,349.96841705504704,3.2274494726687368e7,1.648476055949692e7
2.2138121739130434e8,1.5858286250361353e7,349.4613695514132,3.2272941573658954e7,1.6414655323297601e7
2.278893913043478e8,1.59295560433396e7,348.9163718359299,3.2271340610027555e7,1.6341784566687955e7
2.343975652173913e8,1.6003514869647874e7,348.33540679669704,3.2269699439962536e7,1.6266184570314663e7
2.4090573913043478e8,1.6080109048710907e7,347.7207185396059,3.226802508007924e7,1.6187916031368332e7
2.4741391304347825e8,1.615925741440535e7,347.0747633816645,3.2266324174944945e7,1.6107066760539595e7
2.5392208695652175e8,1.6240849858408734e7,346.40017113236183,3.2264602788216744e7,1.602375292980801e7
2.6043026086956522e8,1.6324745370531315e7,345.699715901733,3.2262866804252516e7,1.5938121433721201e7
2.669384347826087e8,1.6410770110618787e7,344.97629405901074,3.2261121658012725e7,1.5850351547393939e7
2.734466086956522e8,1.649871636929207e7,344.23290687011945,3.2259372528115124e7,1.5760656158823054e7
2.799547826086956e8,1.6588341758460555e7,343.4726453510313,3.225762444956123e7,1.5669282691100676e7
2.864629565217391e8,1.6679369690642014e7,342.6986752225033,3.2255882129069634e7,1.557651243842762e7
2.929711304347826e8,1.6771491003523847e7,341.91422000303766,3.2254150070235226e7,1.548265906671138e7
2.9947930434782606e8,1.6864367123983823e7,341.12254122567066,3.225243269186742e7,1.5388065567883594e7
3.0598747826086956e8,1.695763494284214e7,340.3269144741754,3.22507341600559e7,1.5293099217213763e7
3.1249565217391306e8,1.705091320702614e7,339.5306010948478,3.2249058350997925e7,1.5198145143971788e7
3.190038260869565e8,1.71438100947302e7,338.7368158337756,3.224740904145325e7,1.5103598946723053e7
3.25512e8,1.7235932167723134e7,337.94869048561463,3.2245789686310265e7,1.500985751858713e7
3.320201739130435e8,1.7326893667974938e7,337.16923481961595,3.2244203462068327e7,1.4917309794093389e7
3.3852834782608694e8,1.7416326184667744e7,336.4012958111034,3.224265316611226e7,1.4826326981444515e7
3.4503652173913044e8,1.750388757263636e7,335.64751720961107,3.224114129962828e7,1.4737253726991924e7
3.5154469565217394e8,1.758926993458136e7,334.91030135775196,3.2239669948727325e7,1.4650400014145961e7
3.580528695652174e8,1.7672206018044673e7,334.19177556869624,3.2238240808532804e7,1.4566034790488133e7
3.645610434782609e8,1.7752473910207383e7,333.4937651678049,3.223685512628576e7,1.448438121607838e7
3.710692173913044e8,1.7829899577106524e7,332.81777510227744,3.2235513719769202e7,1.4405614142662678e7
3.775773913043478e8,1.790435733660095e7,332.16498141345585,3.2234217023862045e7,1.4329859687261093e7
3.840855652173913e8,1.797576845093382e7,331.5362330910918,3.223296505964242e7,1.4257196608708598e7
3.905937391304348e8,1.8044098036711052e7,330.93206394267645,3.22317574867642e7,1.4187659450053148e7
3.9710191304347825e8,1.810935069538793e7,330.35271340550435,3.2230593642507404e7,1.4121242947119476e7
4.0361008695652175e8,1.8171565272808097e7,329.7981545508331,3.222947258615975e7,1.4057907313351652e7
4.101182608695652e8,1.8230809152693123e7,329.26812716170264,3.2228393147480145e7,1.399758399478702e7
4.166264347826087e8,1.82871724621464e7,328.7621736455651,3.2227353975271966e7,1.3940181513125563e7
4.231346086956522e8,1.8340762497858077e7,328.2796756573968,3.2226353584106028e7,1.3885591086247949e7
4.296427826086956e8,1.8391698607767344e7,327.819889601702,3.222539039757956e7,1.3833691789812217e7
4.361509565217391e8,1.844010767908892e7,327.3819796095966,3.2224462787497766e7,1.3784355108408846e7
4.426591304347826e8,1.8486120323600844e7,326.96504700195027,3.2223569104187164e7,1.373744878058632e7
4.4916730434782606e8,1.8529863434519883e7,326.56820432848883,3.222270772650142e7,1.3692844291981537e7
4.5567547826086956e8,1.8571459537574895e7,326.19055512697685,3.222187710793811e7,1.3650417570363218e7
4.6218365217391306e8,1.861104237051619e7,325.8311038959941,3.22210756762063e7,1.3610033305690112e7
4.686918260869565e8,1.8648735794176236e7,325.48884722150245,3.2220301867893517e7,1.3571566073717281e7
4.752e8,1.868465857004309e7,325.1628248740618,3.221955419156437e7,1.353489562152128e7
