"T_s","dp_Pa","T_K"
0.0,5.2413956659543514e7,353.15
1.086206896551724e6,5.2413956659543514e7,353.15000000006455
2.172413793103448e6,5.446067761580293e7,353.14999999999185
3.2586206896551726e6,5.539432316341942e7,353.15000000000293
4.344827586206896e6,5.5943404985281795e7,353.14999999996627
5.431034482758621e6,5.6319540063567445e7,353.14999999998236
6.517241379310345e6,5.66048660406411e7,353.15000000001953
7.603448275862069e6,5.6835645935904294e7,353.14999999996064
8.689655172413792e6,5.7029914794950604e7,353.1499999999247
9.775862068965517e6,5.719778417340459e7,353.15000000001044
1.0862068965517242e7,5.734554530552612e7,353.14999999999975
1.1948275862068966e7,5.7477436046005726e7,353.1499999999728
1.303448275862069e7,5.759647683281925e7,353.1499999999924
1.4120689655172413e7,5.7704907698688194e7,353.15000000001135
1.5206896551724138e7,5.780443873000574e7,353.1499999999636
1.6293103448275862e7,5.7896404820582464e7,353.1500000000601
1.7379310344827585e7,5.7981866904516235e7,353.15000000002783
1.846551724137931e7,5.806168104498714e7,353.15000000001316
1.9551724137931034e7,5.8136547117738545e7,353.1500000000107
2.063793103448276e7,5.8207043992187425e7,353.14999999994023
2.1724137931034483e7,5.8273655474499315e7,353.1499999999917
2.2810344827586208e7,5.83367897708551e7,353.14999999993427
2.3896551724137932e7,5.839679429730444e7,353.15000000000566
2.4982758620689657e7,5.8453967094772905e7,353.1500000000718
2.606896551724138e7,5.850856572346644e7,353.1500000000332
2.7155172413793102e7,5.85608142648056e7,353.15000000000913
2.8241379310344826e7,5.861090888551995e7,353.1500000000522
2.932758620689655e7,5.865902229726216e7,353.15000000002175
3.0413793103448275e7,5.870530736386201e7,353.15000000001965
3.15e7,5.874990003953394e7,353.1500000000107
3.465e7,5.886013647062366e7,353.1499999999779
4.053913043478261e7,5.9036644163619965e7,353.14999999996985
4.642826086956522e7,5.919847998724e7,353.1499999999532
5.231739130434783e7,5.934381959755932e7,353.1499999999736
5.820652173913044e7,5.947565271839635e7,353.1500000000119
6.409565217391305e7,5.959630037331876e7,353.1499999999524
6.998478260869566e7,5.970758499400401e7,353.1500000000283
7.587391304347827e7,5.981095538782725e7,353.14999999996
8.176304347826087e7,5.990757774565214e7,353.1499999998802
8.765217391304348e7,5.999840209167075e7,353.1499999992688
9.35413043478261e7,6.0084211174889356e7,353.14999999732
9.94304347826087e7,6.016565680862436e7,353.14999999092
1.053195652173913e8,6.0243287166627094e7,353.1499999715012
1.112086956521739e8,6.031756751945074e7,353.14999991626905
1.1709782608695652e8,6.038889618151297e7,353.1499997692949
1.2298695652173913e8,6.045761691193977e7,353.1499993999258
1.2887608695652173e8,6.052402864977604e7,353.1499985215006
1.3476521739130434e8,6.058839327972369e7,353.1499965351746
1.4065434782608697e8,6.065094189489406e7,353.14999224685806
1.4654347826086956e8,6.071187975913231e7,353.1499833817208
1.524326086956522e8,6.077139045429811e7,353.14996578097566
1.5832173913043478e8,6.082963954897359e7,353.14993213598257
1.642108695652174e8,6.088677734762858e7,353.14987006709947
1.701e8,6.0942941532076895e7,353.14975932931566
1.759891304347826e8,6.099825957869822e7,353.1495678984651
1.8187826086956522e8,6.105285116305207e7,353.1492466972891
1.877673913043478e8,6.11068283736728e7,353.1487227557756
1.9365652173913044e8,6.116030196938218e7,353.14789067600896
1.9954565217391303e8,6.121337741685666e7,353.1466023932401
2.0543478260869566e8,6.126616280110769e7,353.1446553925508
2.1132391304347825e8,6.1318765689223036e7,353.1417797423286
2.1721304347826087e8,6.1371299238026336e7,353.137624525862
2.2310217391304347e8,6.142388034703916e7,353.1317444718013
2.289913043478261e8,6.147663502698669e7,353.12358776379403
2.348804347826087e8,6.1529695476986825e7,353.1124861401418
2.407695652173913e8,6.1583206109633e7,353.0976484195461
2.466586956521739e8,6.163731852639589e7,353.0781585239312
2.5254782608695653e8,6.1692198193331584e7,353.0529788702447
2.5843695652173913e8,6.174801895307036e7,353.02095971640307
2.6432608695652175e8,6.180496522300187e7,352.98085463767757
2.702152173913044e8,6.186323162265232e7,352.93134186662394
2.7610434782608694e8,6.192301977032542e7,352.8710507596019
2.8199347826086956e8,6.198453894102827e7,352.79859219439504
2.878826086956522e8,6.204800331522937e7,352.71259135048206
2.937717391304348e8,6.2113630668197125e7,352.61172104729917
2.996608695652174e8,6.218164238377282e7,352.49473372477166
3.0555e8,6.22522575699199e7,352.36049020913345
3.114391304347826e8,6.232569912184641e7,352.2079835824551
3.173282608695652e8,6.24021820018896e7,352.03635695364295
3.232173913043478e8,6.24819252813935e7,351.84491420251146
3.2910652173913044e8,6.256513692731464e7,351.63312360099104
3.3499565217391306e8,6.265202754208249e7,351.4006143656205
3.408847826086956e8,6.2742797508218616e7,351.14716711592894
3.4677391304347825e8,6.283764702857439e7,350.8726991355635
3.526630434782609e8,6.293676984590478e7,350.57724600816465
3.585521739130435e8,6.304035674106564e7,350.26094095123113
3.6444130434782606e8,6.314859709281176e7,349.9239933613617
3.703304347826087e8,6.326167725676222e7,349.5666678659759
3.762195652173913e8,6.337978337123807e7,349.1892649314099
3.8210869565217394e8,6.3503103432973206e7,348.7921038313824
3.879978260869565e8,6.363182426855785e7,348.3755085896062
3.938869565217391e8,6.3766137962224826e7,347.93979706167113
3.9977608695652175e8,6.390623756467247e7,347.48527336510506
4.056652173913044e8,6.40523197487064e7,347.0122235059464
4.1155434782608694e8,6.420458603803398e7,346.52091397832055
