"T_s","dp_Pa","T_K","p_inj_Pa","p_out_Pa"
0.0,5.991262747471876e6,353.15,2.7558495195578933e7,2.1567232448107056e7
2.3586206896551726e6,5.991262747471876e6,353.14999999978704,2.7558495195578933e7,2.1567232448107056e7
4.717241379310345e6,6.148517909261581e6,353.1500000000013,2.7714626405839223e7,2.1566108496577643e7
7.075862068965517e6,6.205956785596307e6,353.15000000003073,2.7770845778422985e7,2.1564888992826678e7
9.43448275862069e6,6.235374665855408e6,353.14999999984536,2.7798994265075464e7,2.1563619599220056e7
1.1793103448275862e7,6.255579816382565e6,353.150000000623,2.781788778976673e7,2.1562307973384164e7
1.4151724137931034e7,6.271671302467488e6,353.1500000005029,2.7832637834257245e7,2.1560966531789757e7
1.6510344827586208e7,6.285304598802399e6,353.1500000000581,2.7844908125161394e7,2.1559603526358996e7
1.886896551724138e7,6.297182863165855e6,353.1499999999982,2.7855407248931665e7,2.155822438576581e7
2.122758620689655e7,6.307710491193909e6,353.149999999714,2.786454297762278e7,2.155683248642887e7
2.3586206896551725e7,6.317159239674274e6,353.14999999995285,2.7872589193470716e7,2.1555429953796443e7
2.5944827586206898e7,6.325727923075303e6,353.1500000002867,2.7879746086347103e7,2.15540181632718e7
2.8303448275862068e7,6.333567885810353e6,353.1500000001598,2.788616592158927e7,2.1552598035778917e7
3.066206896551724e7,6.340796952619735e6,353.1499999997669,2.789196712926005e7,2.1551170176640313e7
3.3020689655172415e7,6.347508370649874e6,353.1499999998215,2.78972433390575e7,2.1549734968407627e7
3.5379310344827585e7,6.353776838589512e6,353.1500000001268,2.7902069499623034e7,2.1548292661033522e7
3.773793103448276e7,6.3596628982862905e6,353.14999999993984,2.7906506319160517e7,2.1546843420874227e7
4.009655172413793e7,6.365216154067729e6,353.14999999991875,2.7910603515672047e7,2.1545387361604318e7
4.24551724137931e7,6.370477663794681e6,353.14999999983996,2.7914402228106666e7,2.1543924564311985e7
4.481379310344828e7,6.375481733195517e6,353.14999999976595,2.7917936824432246e7,2.154245509123673e7
4.717241379310345e7,6.380257277490236e6,353.1499999997552,2.7921236270671874e7,2.154097899318164e7
4.953103448275862e7,6.384828863293566e6,353.14999999985116,2.792432517930005e7,2.1539496316006485e7
5.1889655172413796e7,6.389217516927376e6,353.1499999995312,2.792722461916222e7,2.1538007102234844e7
5.4248275862068966e7,6.393441355493348e6,353.1499999999482,2.79299527490604e7,2.153651139356705e7
5.6606896551724136e7,6.39751608634112e6,353.14999999954756,2.7932525317441538e7,2.1535009231100418e7
5.896551724137931e7,6.40145540574526e6,353.1499999996732,2.79349560610301e7,2.153350065528484e7
6.132413793103448e7,6.40527131957788e6,353.1499999997898,2.7937257025037676e7,2.1531985705459796e7
6.368275862068965e7,6.408974403392483e6,353.14999999981154,2.7939438824106943e7,2.153046442071446e7
6.604137931034483e7,6.41257401655319e6,353.14999999952255,2.794151085420542e7,2.152893683765223e7
6.84e7,6.416078476625849e6,353.14999999975186,2.7943481469106928e7,2.152740299248108e7
7.524e7,6.425476385247394e6,353.149999999891,2.7948377203169327e7,2.1522900817921933e7
9.397565217391305e7,6.447685248490155e6,353.15000000013873,2.7958176767632984e7,2.151049151914283e7
1.127113043478261e8,6.468115343107291e6,353.1499999987573,2.7965872140824717e7,2.1497756797717426e7
1.3144695652173913e8,6.487300399246857e6,353.1499999887315,2.797190426400127e7,2.1484603864754412e7
1.501826086956522e8,6.505610596578419e6,353.1499999326889,2.797666649217915e7,2.1471055895600732e7
1.6891826086956522e8,6.5233125105242655e6,353.14999968020163,2.798043951026206e7,2.1457126999737795e7
1.8765391304347825e8,6.540601793486811e6,353.1499987447663,2.7983428806189083e7,2.144282701270227e7
2.063895652173913e8,6.557624782719601e6,353.1499957440564,2.7985788526222244e7,2.1428163743502643e7
2.2512521739130434e8,6.574492797584824e6,353.1499871991469,2.798763690386523e7,2.1413144106280405e7
2.438608695652174e8,6.591291791681606e6,353.1499651873188,2.798906644830065e7,2.1397774656619042e7
2.6259652173913044e8,6.60808895141859e6,353.14991314754815,2.799015076702328e7,2.138206181560469e7
2.813321739130435e8,6.624937424917411e6,353.14979897655013,2.799094933366849e7,2.1366011908751078e7
3.000678260869565e8,6.641879738159545e6,353.14956445641553,2.799151081668077e7,2.1349631078521226e7
3.1880347826086956e8,6.658950387866244e6,353.14911015177233,2.7991875389865324e7,2.133292500199908e7
3.375391304347826e8,6.676178061670065e6,353.1482751740672,2.799207663656959e7,2.1315898574899524e7
3.562747826086956e8,6.693587289023623e6,353.146811773483,2.799214267517241e7,2.1298555386148788e7
3.750104347826087e8,6.711199951077994e6,353.14435543861725,2.7992097148195468e7,2.1280897197117474e7
3.9374608695652175e8,6.729036721034661e6,353.140392010151,2.7991960101341527e7,2.1262923380306866e7
4.124817391304348e8,6.747118298451256e6,353.13422425519474,2.7991748447960522e7,2.1244630149509266e7
4.312173913043478e8,6.7654662104389e6,353.1249409764037,2.7991476414527375e7,2.1226010204088476e7
4.499530434782609e8,6.784103778830659e6,353.11139217441604,2.799115585863378e7,2.120705207980312e7
4.6868869565217394e8,6.803056670756388e6,353.0921737369039,2.799079667008787e7,2.118773999933148e7
